ScoreFMMPAM_FID,CovCount,PointCount,ScoresWin,hwLenKM,Scores,VenueCnt,VALUE,YEAR,IsFMM,UserDaysPA,DaysPAFina,Sum_length,days_pa_km,IsPaM
50,9,3,0.08822,1.416905,0.08822,1,,,0,0,0,0,0,1
51,8,5,4.172856,0.958576,4.172858,3,,,0,,,,,0
52,9,3,0.10583,1.181139,0.10583,4,,,0,3.05013,3.161932,1.181139,2.677019,1
53,8,1,0.005893,2.65128,0.005893,0,,,0,,,,,0
54,8,1,0.013248,1.179458,0.013248,1,,,0,,,,,0
55,9,1,0.012809,0.609904,0.012809,1,,,0,2.254701,2.254701,0.609904,3.69681,1
56,9,1,0.010287,0.759474,0.010287,1,,,0,0.445435,0.445435,0.759474,0.586504,1
57,8,1,0.01233,1.267228,0.01233,1,,,0,,,,,0
58,9,3,0.195373,0.639801,0.195373,3,,,0,1.269227,1.269227,0.639801,1.983785,1
59,9,2,0.024716,1.264383,0.024716,1,,,0,0.844579,0.844579,1.264383,0.667977,1
60,8,1,0.028997,0.538842,0.028997,0,,,0,,,,,0
61,9,1,0.006923,1.12841,0.006923,1,,,0,2.657094,2.657094,1.12841,2.354723,1
62,9,2,0.029749,1.050442,0.029749,2,,,0,1.713059,2.400177,1.050442,2.284921,1
63,8,2,0.065741,0.950701,0.065741,1,,,0,,,,,0
64,8,1,0.019468,0.802617,0.019468,1,,,0,,,,,0
65,8,1,0.013175,1.185914,0.013175,1,,,0,,,,,0
66,8,3,0.247732,1.009154,0.247732,3,,,0,,,,,0
67,8,1,0.015068,1.03699,0.015068,1,,,0,,,,,0
68,8,1,0.020897,0.747732,0.020897,1,,,0,,,,,0
69,8,2,1.216285,0.051386,1.216279,0,,,0,,,,,0
70,8,6,14.154369,1.130393,14.154371,4,,,0,,,,,0
71,9,3,0.064847,1.927608,0.064847,2,,,0,57.489911,57.491771,1.927608,29.825446,1
72,9,1,0.007208,1.083866,0.007208,1,,,0,1.749746,1.749746,1.083866,1.614356,1
73,9,1,0.026117,0.299134,0.026117,1,,,0,0.526066,0.526066,0.299134,1.758632,1
74,8,2,0.037489,1.667154,0.037489,0,,,0,,,,,0
75,8,1,0.036486,0.428246,0.036486,1,,,0,,,,,0
76,9,1,0.00582,1.342251,0.00582,1,,,0,60.006986,60.006986,1.342251,44.706228,1
77,9,2,0.028417,1.099697,0.028417,2,,,0,1.716713,1.716713,1.099697,1.561078,1
78,9,2,0.026956,1.159302,0.026956,2,,,0,6.147214,6.147214,1.159302,5.302512,1
79,9,2,0.041647,0.750347,0.041647,2,,,0,1.658196,1.658196,0.750347,2.209906,1
80,0,0,0,1.009534,0,0,,,0,,,,,0
81,0,0,0,1.036024,0,0,,,0,,,,,0
82,0,0,0,0.767216,0,0,,,0,,,,,0
83,0,0,0,1.077885,0,0,,,0,,,,,0
84,0,0,0,1.037469,0,0,,,0,,,,,0
85,0,0,0,0.064257,0,1,,,0,,,,,0
86,0,0,0,0.39593,0,0,,,0,,,,,0
87,0,0,0,0.095417,0,0,,,0,,,,,0
88,0,0,0,0.707574,0,0,,,0,,,,,0
89,0,0,0,0.32917,0,0,,,0,,,,,0
90,0,0,0,0.09503,0,0,,,0,,,,,0
91,0,0,0,1.02432,0,0,,,0,,,,,0
92,0,0,0,0.236352,0,0,,,0,,,,,0
93,0,0,0,0.536279,0,0,,,0,,,,,0
94,0,0,0,0.848743,0,0,,,0,,,,,0
95,0,0,0,0.685873,0,0,,,0,,,,,0
96,0,0,0,0.330867,0,0,,,0,,,,,0
97,0,0,0,0.814931,0,0,,,0,,,,,0
98,0,0,0,0.46756,0,0,,,0,,,,,0
99,0,0,0,0.016387,0,0,,,0,,,,,0
100,0,0,0,1.402394,0,0,,,0,0.003027,0.003027,1.402394,0.002158,1
101,0,0,0,0.227482,0,0,,,0,,,,,0
102,0,0,0,0.613572,0,0,,,0,0,0,0,0,1
103,0,0,0,2.185691,0,1,,,0,,,,,0
104,0,0,0,0.055994,0,0,,,0,,,,,0
105,0,0,0,0,0,0,,,0,,,,,0
106,0,0,0,1.217909,0,0,,,0,,,,,0
107,0,0,0,0.097905,0,0,,,0,,,,,0
108,0,0,0,1.289091,0,0,,,0,,,,,0
109,0,0,0,1.180523,0,1,,,0,,,,,0
110,0,0,0,1.152731,0,0,,,0,,,,,0
111,0,0,0,0.264129,0,0,,,0,,,,,0
112,0,0,0,0.44931,0,0,,,0,,,,,0
113,0,0,0,0.221273,0,0,,,0,2.639883,2.639883,0.221273,11.930446,1
114,0,0,0,0.809093,0,0,,,0,0.319465,0.319465,0.809093,0.394843,1
115,0,0,0,0.515801,0,0,,,0,,,,,0
116,0,0,0,0.699118,0,0,,,0,,,,,0
117,0,0,0,0.507443,0,0,,,0,,,,,0
118,0,0,0,3.95639,0,1,,,0,,,,,0
119,0,0,0,1.112027,0,0,,,0,,,,,0
120,0,0,0,1.097023,0,0,,,0,,,,,0
121,0,0,0,0.314542,0,0,,,0,,,,,0
122,0,0,0,1.573486,0,0,,,0,0.610257,0.610257,1.573486,0.387838,1
123,0,0,0,0.114708,0,0,,,0,0,0,0,0,1
124,0,0,0,2.406802,0,0,,,0,,,,,0
125,0,0,0,1.760929,0,0,,,0,,,,,0
126,0,0,0,0.716638,0,0,,,0,,,,,0
127,0,0,0,0.776853,0,1,,,0,,,,,0
128,0,0,0,0.061581,0,0,,,0,0,0,0,0,1
129,0,0,0,1.099096,0,0,,,0,3.482544,3.482544,1.099096,3.168552,1
130,0,0,0,0.966974,0,0,,,0,0,0,0,0,1
131,0,0,0,1.110238,0,0,,,0,0,0,0,0,1
132,0,0,0,0.384987,0,0,,,0,,,,,0
133,0,0,0,1.452392,0,0,,,0,,,,,0
134,0,0,0,0.792585,0,0,,,0,0,0,0,0,1
135,0,0,0,0.200848,0,0,,,0,0.020252,0.020252,0.200848,0.100833,1
136,0,0,0,1.070833,0,0,,,0,4.136603,4.136603,1.070833,3.862977,1
137,0,0,0,0.855287,0,0,,,0,1.5443,1.5443,0.855287,1.805593,1
138,9,1,0.012168,0.64207,0.012168,0,,,0,0,0,0,0,1
139,9,2,0.019576,1.596316,0.019576,1,,,0,36.931287,50.898701,1.596316,31.885097,1
140,9,3,0.101496,1.231571,0.101496,2,,,0,8.477151,9.232613,1.231571,7.496617,1
141,9,1,0.010698,0.730294,0.010698,1,,,0,0,0,0,0,1
142,9,2,0.024948,1.252613,0.024948,2,,,0,2.054795,2.054795,1.252613,1.640407,1
143,9,2,0.032099,0.973552,0.032099,2,,,0,1.878472,1.878472,0.973552,1.929503,1
144,9,1,0.018392,0.424778,0.018392,1,,,0,4.180605,4.180605,0.424778,9.841853,1
145,9,3,0.106362,1.175227,0.106362,2,,,0,0,0,0,0,1
146,8,1,0.007632,2.047251,0.007632,2,,,0,,,,,0
147,9,3,0.092159,1.356346,0.092159,0,,,0,0,0,0,0,1
148,9,2,0.02031,1.538663,0.02031,0,,,0,33.587399,35.543584,1.538663,23.100298,1
149,9,2,0.014715,2.12374,0.014715,9,,,0,15.749773,15.749773,2.12374,7.416057,1
150,9,4,0.423512,1.180605,0.423512,4,,,0,45.744539,56.344892,1.180605,47.725425,1
151,9,3,0.262883,0.475497,0.262883,0,,,0,0.626413,0.626413,0.475497,1.317385,1
152,9,2,0.025892,1.20694,0.025892,2,,,0,1.857928,1.857928,1.20694,1.53937,1
153,9,1,0.005692,1.372433,0.005692,1,,,0,0.147598,0.147598,1.372433,0.107545,1
154,9,2,0.06261,0.499118,0.06261,2,,,0,0,0,0,0,1
155,9,1,0.011042,0.707518,0.011042,0,,,0,0.176323,0.176323,0.707518,0.249213,1
156,9,3,0.092053,1.35791,0.092053,5,,,0,8.587092,8.587092,1.35791,6.323758,1
157,9,3,0.112542,1.110695,0.112542,4,,,0,4.513125,4.513125,1.110695,4.063335,1
158,9,5,2.348258,0.851695,2.348259,3,,,0,2.008632,2.250244,0.851695,2.642078,1
159,9,1,0.009497,0.822629,0.009497,1,,,0,0.51608,0.672609,0.822629,0.817633,1
160,9,4,0.270295,1.849828,0.270295,9,,,0,32.170817,32.170817,1.849828,17.39125,1
161,9,8,16.82,1.127657,113.509661,7,,,0,34.559996,34.680048,1.127657,30.754066,1
162,9,3,0.060608,2.062445,0.060608,3,,,0,0,0,0,0,1
163,8,1,0.016827,0.928585,0.016827,0,,,0,,,,,0
164,8,3,0.188012,1.329702,0.188012,2,,,0,,,,,0
165,9,6,6.487467,1.233147,6.487469,4,,,0,3.480256,4.793925,1.233147,3.887555,1
166,9,2,0.018104,1.726156,0.018104,2,,,0,0.017964,0.017964,1.726156,0.010407,1
167,9,6,7.066014,1.13218,7.066013,5,,,0,0.450745,7.147391,1.13218,6.312944,1
168,9,3,0.041584,3.005936,0.041584,2,,,0,0,0,0,0,1
169,9,1,0.003521,2.218617,0.003521,1,,,0,0,0,0,0,1
170,8,2,0.113412,0.551086,0.113412,2,,,0,,,,,0
171,9,2,0.030107,1.03795,0.030107,2,,,0,0,0,0,0,1
172,9,1,0.005363,1.456704,0.005363,1,,,0,0,0,0,0,1
173,9,2,0.015848,1.971894,0.015848,3,,,0,0,0,0,0,1
174,9,1,0.045423,0.171994,0.045423,0,,,0,0,0,0,0,1
175,9,2,0.030101,1.038155,0.030101,2,,,0,1.769373,5.741085,1.038155,5.530083,1
176,9,1,0.005678,1.375898,0.005678,1,,,0,0,0,0,0,1
177,9,1,0.009303,0.839803,0.009303,0,,,0,6.452036,6.452036,0.839803,7.6828,1
178,9,1,0.031034,0.251744,0.031034,2,,,0,0,0,0,0,1
179,9,3,0.073421,1.702516,0.073421,2,,,0,0,0,0,0,1
180,9,1,0.005782,1.351071,0.005782,0,,,0,0,0,0,0,1
181,10,1,0.002395,1.631239,0.002395,1,,,0,3.75,3.75,1.631239,2.298866,1
182,10,3,0.054548,1.14579,0.054547,3,,,0,7.5,7.5,1.14579,6.5457,1
183,9,3,0.178995,0.698343,0.178995,0,,,0,1.675141,1.675141,0.698343,2.398736,1
184,9,1,0.003671,2.128058,0.003671,5,,,0,3.933584,3.933584,2.416208,1.627999,1
185,9,2,0.03038,1.028624,0.03038,1,,,0,0,0,0,0,1
186,9,1,0.007725,1.011347,0.007725,1,,,0,0,0,0,0,1
187,9,1,0.006342,1.231817,0.006342,1,,,0,0,0,0,0,1
188,10,2,0.00766,2.039783,0.00766,3,,,0,8.83491,8.83491,2.039783,4.331298,1
189,10,1,0.012134,0.321913,0.012134,1,,,0,2.944613,2.944613,0.321913,9.147233,1
190,9,1,0.007019,1.112986,0.007019,2,,,0,0.243999,0.243999,1.112987,0.219229,1
191,9,5,1.686592,1.185823,1.686593,5,,,0,0.131372,0.259076,1.185823,0.218478,1
192,9,2,0.013195,2.368366,0.013195,0,,,0,0,0,0,0,1
193,9,1,0.001876,4.164341,0.001876,0,,,0,0.000289,0.000289,4.164341,0.000069,1
194,10,2,0.009486,1.647154,0.009486,2,,,0,3.75,3.75,1.647154,2.276654,1
195,10,1,0.006932,0.56355,0.006932,1,,,0,0,0,0,0,1
196,10,2,0.011549,1.35293,0.011549,1,,,0,0.44052,0.44052,1.35293,0.325605,1
197,10,4,0.120943,2.067093,0.120943,4,,,0,18.198204,18.198204,2.067093,8.803767,1
198,9,1,0.006399,1.220957,0.006399,1,,,0,0.135231,0.135231,1.220957,0.110758,1
199,9,1,0.002945,2.652804,0.002945,2,,,0,0,0,0,0,1
200,10,6,2.407572,1.661425,2.407572,5,,,0,24.505631,24.505631,1.661425,14.749767,1
201,9,1,0.006628,1.178777,0.006628,1,,,0,0.117211,0.942261,1.178777,0.799355,1
202,9,1,0.006524,1.197449,0.006524,1,,,0,0.267148,3.112682,1.197449,2.599427,1
203,9,1,0.020067,0.389323,0.020067,0,,,0,1.125818,3.291169,0.389323,8.453566,1
204,9,1,0.002302,3.394505,0.002302,1,,,0,0.056026,1.951823,3.394505,0.574995,1
205,0,0,0,0.445296,0,1,,,0,0,0,0,0,1
206,0,0,0,1.795028,0,0,,,0,,,,,0
207,0,0,0,0.742637,0,0,,,0,,,,,0
208,0,0,0,1.230453,0,0,,,0,,,,,0
209,0,0,0,0.856256,0,1,,,0,26.498674,26.498674,0.856256,30.947155,1
210,0,0,0,0.585816,0,0,,,0,0,0,0,0,1
211,0,0,0,0.61397,0,0,,,0,0,0,0,0,1
212,0,0,0,0.712023,0,0,,,0,0,0,0,0,1
213,0,0,0,0.083848,0,0,,,0,,,,,0
214,0,0,0,1.101233,0,0,,,0,,,,,0
215,0,0,0,1.14093,0,0,,,0,,,,,0
216,0,0,0,0.194541,0,1,,,0,,,,,0
217,0,0,0,0.313388,0,0,,,0,2.197838,2.197838,0.313388,7.013148,1
218,0,0,0,1.184011,0,2,,,0,7.732807,7.732807,1.184011,6.531024,1
219,0,0,0,1.172506,0,0,,,0,4.081836,4.081836,1.172506,3.481292,1
220,0,0,0,3.08685,0,0,,,0,0,0,0,0,1
221,0,0,0,0.273959,0,0,,,0,0,0,0,0,1
222,0,0,0,1.0874,0,0,,,0,,,,,0
223,0,0,0,0.214176,0,0,,,0,2.876757,2.876757,0.214176,13.431752,1
224,0,0,0,1.225868,0,0,,,0,0,0,0,0,1
225,0,0,0,1.010988,0,0,,,0,4.468124,4.468124,1.010988,4.41956,1
226,0,0,0,0.738074,0,0,,,0,0,0,0,0,1
227,0,0,0,0.743483,0,0,,,0,0,0,0,0,1
228,0,0,0,0.023324,0,0,,,0,0,0,0,0,1
229,0,0,0,0.056903,0,1,,,0,0,0,0,0,1
230,0,0,0,0.853545,0,0,,,0,0,0,0,0,1
231,0,0,0,1.005894,0,0,,,0,0,0,0,0,1
232,0,0,0,0.335625,0,0,,,0,0,0,0,0,1
233,0,0,0,0.820324,0,0,,,0,0,0,0,0,1
234,0,0,0,0.514926,0,0,,,0,0,0,0,0,1
235,0,0,0,0.111534,0,0,,,0,0,0,0,0,1
236,0,0,0,2.523351,0,0,,,0,0,0,0,0,1
237,0,0,0,0.226147,0,0,,,0,0,0,0,0,1
238,0,0,0,1.257099,0,0,,,0,0,0,0,0,1
239,0,0,0,1.044671,0,0,,,0,0,0,0,0,1
240,0,0,0,1.071177,0,0,,,0,0,0,0,0,1
241,0,0,0,2.824587,0,0,,,0,0,0,0,0,1
242,0,0,0,1.1949,0,0,,,0,0,0,0,0,1
243,0,0,0,1.658977,0,0,,,0,0,0,0,0,1
244,0,0,0,0.072128,0,0,,,0,0,0,0,0,1
245,0,0,0,0.28815,0,0,,,0,0.032743,0.032743,0.28815,0.113632,1
246,0,0,0,0.687949,0,0,,,0,0,0,0,0,1
247,0,0,0,5.996847,0,0,,,0,0,0,0,0,1
248,0,0,0,2.438391,0,0,,,0,0,0,0,0,1
249,0,0,0,4.61964,0,0,,,0,0,0,0,0,1
250,0,0,0,3.744581,0,1,,,0,0,0,0,0,1
251,0,0,0,0.599019,0,0,,,0,0,0,0,0,1
252,0,0,0,2.103185,0,0,,,0,0,0,0,0,1
253,0,0,0,3.27302,0,0,,,0,0,0,0,0,1
254,0,0,0,0.441491,0,0,,,0,0,0,0,0,1
255,0,0,0,1.526015,0,0,,,0,0,0,0,0,1
256,0,0,0,1.384099,0,0,,,0,0,0,0,0,1
257,0,0,0,0.82214,0,0,,,0,3.298998,3.298998,0.82214,4.012696,1
258,0,0,0,0.742166,0,0,,,0,0,0,0,0,1
259,0,0,0,6.204559,0,1,,,0,0,0,0,0,1
260,0,0,0,13.261134,0,0,,,0,0.000445,0.000445,13.261134,0.000034,1
261,0,0,0,10.118053,0,0,,,0,0,0,0,0,1
262,0,0,0,1.978358,0,1,,,0,0,0,0,0,1
263,0,0,0,4.25644,0,0,,,0,0.371563,0.371563,4.25644,0.087294,1
264,0,0,0,0.935489,0,0,,,0,1.046864,1.046864,0.935489,1.119056,1
265,0,0,0,5.889782,0,0,,,0,0.310064,0.310064,5.889782,0.052644,1
266,0,0,0,2.281537,0,0,,,0,0,0,0,0,1
267,0,0,0,1.437433,0,0,,,0,0,0,0,0,1
268,0,0,0,1.371375,0,0,,,0,0,0,0,0,1
269,0,0,0,1.293407,0,0,,,0,0,0,0,0,1
270,0,0,0,1.019686,0,0,,,0,0,0,0,0,1
271,0,0,0,0.335301,0,0,,,0,0,0,0,0,1
272,0,0,0,0.882399,0,0,,,0,0,0,0,0,1
273,0,0,0,5.366218,0,0,,,0,0.483048,0.483048,5.366218,0.090016,1
274,0,0,0,2.959857,0,0,,,0,0.306099,0.306099,2.959857,0.103417,1
275,0,0,0,0.367695,0,0,,,0,1.159503,1.159503,0.367695,3.15344,1
276,0,0,0,1.68822,0,0,,,0,0.894416,0.894416,1.68822,0.529798,1
277,0,0,0,1.782298,0,0,,,0,0.000484,0.000484,1.782298,0.000272,1
278,0,0,0,0.511756,0,0,,,0,0,0,0,0,1
279,0,0,0,0.004391,0,0,,,0,0,0,0,0,1
280,10,1,0.002402,1.626224,0.002402,1,,,0,0.625,0.625,1.626224,0.384326,1
281,10,2,0.005941,2.630106,0.005941,0,,,0,0,0,0,0,1
282,9,1,0.001791,4.361857,0.001791,1,,,0,2.672351,2.672351,4.361857,0.612664,1
283,10,1,0.003493,1.118403,0.003493,1,,,0,1.342014,1.35019,1.355828,0.995841,1
284,10,5,0.482352,2.073175,0.482352,2,,,0,2.103917,2.103917,2.073175,1.014828,1
285,10,1,0.01245,0.313758,0.01245,2,,,0,32.361618,32.361618,0.313758,103.14193,1
286,10,4,0.147962,1.689626,0.147962,2,,,0,12.196577,12.196577,1.689626,7.218506,1
287,10,1,0.003774,1.034906,0.003774,1,,,0,1.957122,1.957122,1.034906,1.891111,1
288,10,1,0.009942,0.39292,0.009942,1,,,0,0.174047,0.174047,0.39292,0.442957,1
289,10,1,0.002286,1.709034,0.002286,1,,,0,1.075953,1.075953,1.709034,0.629568,1
290,10,1,0.002856,1.36785,0.002856,1,,,0,36.317569,36.317569,1.36785,26.550845,1
291,10,1,0.007206,0.542076,0.007206,0,,,0,0,0,0,0,1
292,9,1,0.006606,1.182628,0.006606,1,,,0,0.305955,3.714066,1.182628,3.14052,1
293,9,1,0.004526,1.725956,0.004526,1,,,0,2.348259,2.348259,1.725956,1.360556,1
294,9,1,0.00956,0.817247,0.00956,0,,,0,0,0,0,0,1
295,9,1,0.002558,3.054686,0.002558,0,,,0,0,0,0,0,1
296,10,1,0.003655,1.068862,0.003655,1,,,0,2.39981,2.39981,1.068862,2.245201,1
297,10,1,0.003661,1.067098,0.003661,1,,,0,1.136575,1.136575,1.067098,1.065108,1
298,10,1,0.006526,0.598532,0.006526,1,,,0,0.140941,0.140941,0.598532,0.235478,1
299,10,3,0.045919,1.36108,0.045919,3,,,0,83.299006,83.299006,1.36108,61.200668,1
300,10,4,0.16269,1.536664,0.16269,6,,,0,8.128677,8.128677,1.536664,5.289822,1
301,9,4,0.22626,2.209845,0.22626,1,,,0,0,0,0,0,1
302,9,3,0.033106,3.775769,0.033106,3,,,0,3.467415,3.467415,3.775769,0.918334,1
303,10,1,0.003501,1.115726,0.003501,1,,,0,10.266815,10.266815,1.115726,9.201916,1
304,9,3,0.106516,1.173533,0.106516,3,,,0,0.650865,25.296577,1.173533,21.555911,1
305,9,1,0.002522,3.097753,0.002522,2,,,0,0.362987,0.362987,3.097754,0.117177,1
306,10,1,0.003481,1.122162,0.003481,2,,,0,3.410575,3.410575,1.122162,3.039289,1
307,10,6,5.429397,0.73673,5.429394,3,,,0,1.043899,1.050856,0.73673,1.426378,1
308,11,9,16.82,2.610158,49.039186,14,,,0,31.017903,31.017903,2.610158,11.883537,1
309,11,1,0.125409,0.015574,0.125409,0,,,0,0,0,0,0,1
310,9,1,0.007003,1.115643,0.007003,1,,,0,0.114085,2.206531,1.115643,1.977812,1
311,9,2,0.011761,2.657032,0.011761,1,,,0,0,0,0,0,1
312,9,4,0.169703,2.946322,0.169703,4,,,0,5.161977,10.194106,2.946322,3.459942,1
313,9,1,0.00759,1.029371,0.00759,1,,,0,6.353151,7.102038,1.029371,6.899395,1
314,9,2,0.067389,0.463726,0.067389,0,,,0,0,0,0,0,1
315,9,1,0.002186,3.574147,0.002186,1,,,0,22.072394,22.072394,3.574147,6.17557,1
316,10,1,0.003442,1.134865,0.003442,1,,,0,0.119481,0.119481,1.134865,0.105282,1
317,11,2,0.030776,0.253848,0.030776,1,,,0,0,0,0,0,1
318,11,2,0.006087,1.283418,0.006087,2,,,0,10.095484,10.095484,1.283418,7.866093,1
319,9,1,0.005672,1.377482,0.005672,1,,,0,0.114105,0.813349,1.377482,0.590461,1
320,10,1,0.004281,0.912524,0.004281,1,,,0,1.208303,3.829707,0.912524,4.196829,1
321,10,1,0.003401,1.148493,0.003401,1,,,0,0.451547,0.451547,1.148493,0.393165,1
322,10,4,0.330391,0.75668,0.330391,2,,,0,0.652741,0.652741,0.75668,0.862639,1
323,10,1,0.003245,1.203667,0.003245,1,,,0,0.455391,0.455391,1.203667,0.378336,1
324,10,1,0.00315,1.240149,0.00315,1,,,0,1.053973,1.053973,1.240149,0.849876,1
325,11,1,0.001909,1.022937,0.001909,2,,,0,5.544251,5.544251,1.022937,5.419934,1
326,9,1,0.00623,1.253927,0.00623,1,,,0,0.297879,1.740482,1.253927,1.388025,1
327,10,1,0.002657,1.469936,0.002657,2,,,0,5.288931,5.288931,1.469936,3.598069,1
328,10,1,0.001737,2.249456,0.001737,1,,,0,3.077203,3.077203,2.249456,1.367977,1
329,10,1,0.002116,1.846268,0.002116,1,,,0,0.018846,0.018846,1.846268,0.010208,1
330,10,1,0.002885,1.353754,0.002885,1,,,0,28.983258,28.983258,1.353754,21.409548,1
331,11,4,0.105711,1.182472,0.105711,1,,,0,0,0,0,0,1
332,11,1,0.000867,2.252056,0.000867,1,,,0,0,0,0,0,1
333,11,1,0.001081,1.806758,0.001081,3,,,0,10.318365,10.318365,1.806758,5.710985,1
334,11,3,0.262802,0.118911,0.262801,0,,,0,0.746359,0.746359,0.118911,6.276602,1
335,10,2,0.017134,0.911932,0.017134,0,,,0,3.482389,3.482389,0.911932,3.818692,1
336,10,2,0.014937,1.046077,0.014937,2,,,0,0,0,0,0,1
337,11,8,16.82,1.441884,22.19319,3,,,0,0.104719,0.104719,1.441884,0.072627,1
338,11,1,0.001349,1.448006,0.001349,3,,,0,74.808341,74.808341,1.448006,51.663022,1
339,11,1,0.000784,2.49199,0.000784,3,,,0,126.090137,126.090137,2.49199,50.598162,1
340,11,1,0.003014,0.647947,0.003014,1,,,0,0,0,0,0,1
341,11,1,0.000504,3.874735,0.000504,1,,,0,0,0,0,0,1
342,11,5,0.366523,1.364171,0.366523,2,,,0,8.513709,8.513709,1.364171,6.24094,1
343,10,4,0.168102,1.487191,0.168102,3,,,0,1.934932,1.934932,1.487191,1.301065,1
344,10,3,0.046846,1.334165,0.046846,3,,,0,4.211588,4.211588,1.334165,3.156721,1
345,10,1,0.003701,1.055422,0.003701,1,,,0,4.200342,4.200342,1.055422,3.979773,1
346,10,1,0.004525,0.863324,0.004525,1,,,0,4.200342,4.200342,0.863324,4.865313,1
347,10,5,0.708789,1.410857,0.708789,4,,,0,4.200342,4.200342,1.410857,2.977157,1
348,10,2,0.01449,1.078365,0.01449,2,,,0,0,0,0,0,1
349,10,4,0.211058,1.184506,0.211058,4,,,0,4.200342,4.200342,1.184506,3.54607,1
350,10,1,0.001704,2.292868,0.001704,1,,,0,0,0,0,0,1
351,11,3,0.01523,2.051841,0.01523,3,,,0,57.136614,57.136614,2.051841,27.846508,1
352,11,3,0.030551,1.022866,0.030551,1,,,0,57.085532,57.085532,1.022866,55.809373,1
353,11,1,0.000946,2.063757,0.000946,2,,,0,87.61272,87.61272,2.063757,42.453012,1
354,11,1,0.005947,0.328414,0.005947,1,,,0,0.860661,0.860661,0.328414,2.620657,1
355,11,1,0.002027,0.963399,0.002027,1,,,0,13.267149,13.267149,0.963399,13.771187,1
356,10,1,0.002222,1.75782,0.002222,0,,,0,34.028013,34.028013,1.75782,19.358079,1
357,10,1,0.003279,1.191267,0.003279,1,,,0,4.389806,4.389806,1.191267,3.684988,1
